"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Яндекс.Самокат","0","","4","0","Получение заказа","0"
"0","API Яндекс.Самокат","0","Работа с курьерами","2","0","Создание курьера","0"
"0","","0","Получение заказов","3","0","","0"
"0","API Яндекс.Самокат","0","Работа с заказами","3","0","Создание заказа","0"
"0","API Яндекс.Самокат","0","Работа с курьерами","5","0","Авторизация","0"
"0","API Яндекс.Самокат","0","","5","0","Удаление курьера","0"
"0","API Яндекс.Самокат","0","Работа с заказами","1","0","Получение списка заказов","0"
"0","API Яндекс.Самокат","0","","6","0","Принятие заказа","0"
"0","","0","","6","0","","0"
"0","API Яндекс.Самокат","0","Работа с курьерами","3","0","Валидация полей","0"
