"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","Проверка создания курьера без поля login","tests","Sun Apr 20 13:23:33 MSK 2025","passed","Sun Apr 20 13:23:33 MSK 2025","TestCourierCreation","test_courier","",""
"","45","Ошибка при отсутствии ID заказа","tests","Sun Apr 20 13:23:37 MSK 2025","passed","Sun Apr 20 13:23:37 MSK 2025","TestOrderAcceptance","test_order","",""
"","75","Отсутствие обязательного поля password","tests","Sun Apr 20 13:23:34 MSK 2025","passed","Sun Apr 20 13:23:34 MSK 2025","TestCourierLogin","test_courier","",""
"","19","Создание заказа с цветом: None","tests","Sun Apr 20 13:23:34 MSK 2025","passed","Sun Apr 20 13:23:34 MSK 2025","TestOrder","test_order","",""
"","98","test_accept_order_invalid_courier_id","tests","Sun Apr 20 13:23:31 MSK 2025","passed","Sun Apr 20 13:23:31 MSK 2025","TestOrderAcceptance","test_additional","",""
"","245","test_accept_order_already_accepted","tests","Sun Apr 20 13:23:32 MSK 2025","passed","Sun Apr 20 13:23:32 MSK 2025","TestOrderAcceptance","test_additional","",""
"","110","Несуществующий пользователь","tests","Sun Apr 20 13:23:34 MSK 2025","passed","Sun Apr 20 13:23:34 MSK 2025","TestCourierLogin","test_courier","",""
"","58","Ошибка при отсутствии трек-номера","tests","Sun Apr 20 13:23:37 MSK 2025","passed","Sun Apr 20 13:23:38 MSK 2025","TestOrderByTrack","test_order","",""
"","65","Проверка создания курьера без поля password","tests","Sun Apr 20 13:23:33 MSK 2025","passed","Sun Apr 20 13:23:33 MSK 2025","TestCourierCreation","test_courier","",""
"","72","Успешное создание курьера","tests","Sun Apr 20 13:23:33 MSK 2025","passed","Sun Apr 20 13:23:33 MSK 2025","TestCourierCreation","test_courier","",""
"","133","test_accept_order_missing_courier_id","tests","Sun Apr 20 13:23:31 MSK 2025","passed","Sun Apr 20 13:23:31 MSK 2025","TestOrderAcceptance","test_additional","",""
"","82","test_get_order_missing_track","tests","Sun Apr 20 13:23:32 MSK 2025","passed","Sun Apr 20 13:23:33 MSK 2025","TestOrderRetrieval","test_additional","",""
"","117","Ошибка при неверном ID курьера","tests","Sun Apr 20 13:23:37 MSK 2025","passed","Sun Apr 20 13:23:37 MSK 2025","TestOrderAcceptance","test_order","",""
"","68","Успешное получение заказа по трек-номеру","tests","Sun Apr 20 13:23:37 MSK 2025","passed","Sun Apr 20 13:23:37 MSK 2025","TestOrderByTrack","test_order","",""
"","71","Неверный пароль","tests","Sun Apr 20 13:23:34 MSK 2025","passed","Sun Apr 20 13:23:34 MSK 2025","TestCourierLogin","test_courier","",""
"","61","test_get_order_with_empty_track","tests","Sun Apr 20 13:23:33 MSK 2025","passed","Sun Apr 20 13:23:33 MSK 2025","TestOrderRetrieval","test_additional","",""
"","119","Создание заказа с цветом: ['GREY']","tests","Sun Apr 20 13:23:34 MSK 2025","passed","Sun Apr 20 13:23:34 MSK 2025","TestOrder","test_order","",""
"","122","Успешное принятие заказа","tests","Sun Apr 20 13:23:37 MSK 2025","passed","Sun Apr 20 13:23:37 MSK 2025","TestOrderAcceptance","test_order","",""
"","224","test_delete_courier_success","tests","Sun Apr 20 13:23:29 MSK 2025","passed","Sun Apr 20 13:23:30 MSK 2025","TestCourierDeletion","test_additional","",""
"","308","test_delete_courier_twice_fails","tests","Sun Apr 20 13:23:30 MSK 2025","passed","Sun Apr 20 13:23:30 MSK 2025","TestCourierDeletion","test_additional","",""
"","58","Отсутствие обязательного поля login","tests","Sun Apr 20 13:23:34 MSK 2025","passed","Sun Apr 20 13:23:34 MSK 2025","TestCourierLogin","test_courier","",""
"","112","test_get_order_by_track_success","tests","Sun Apr 20 13:23:32 MSK 2025","passed","Sun Apr 20 13:23:32 MSK 2025","TestOrderRetrieval","test_additional","",""
"","356","test_accept_order_success","tests","Sun Apr 20 13:23:31 MSK 2025","passed","Sun Apr 20 13:23:31 MSK 2025","TestOrderAcceptance","test_additional","",""
